"nuts","year","risk_pct"
"NL34",2010,NA
"NL4",2010,NA
"NL41",2010,NA
"NL42",2010,NA
"NO",2010,14.9
"NO01",2010,13.2
"NO02",2010,15.5
"NO03",2010,15.8
"NO04",2010,15.2
"NO05",2010,12.3
"NO06",2010,18.4
"NO07",2010,17.5
"PL",2010,27.8
"PL1",2010,NA
"PL2",2010,NA
"PL3",2010,NA
"PL4",2010,NA
"PL5",2010,NA
"PL6",2010,NA
"PT",2010,25.3
"RO",2010,41.5
"RO1",2010,31.7
"RO11",2010,32.1
"RO12",2010,31.3
"RO2",2010,52.1
"RO21",2010,52.4
"RO22",2010,51.7
"RO3",2010,38.6
"RO31",2010,42.8
"RO32",2010,32.7
"RO4",2010,42.2
"RO41",2010,47.5
"RO42",2010,36.2
"RS",2010,NA
"SE",2010,17.7
"SE1",2010,16.1
"SE11",2010,14
"SE12",2010,18.7
"SE2",2010,18.8
"SE21",2010,17
"SE22",2010,21.4
"SE23",2010,17.5
"SE3",2010,18.6
"SE31",2010,20.3
"SE32",2010,14.4
"SE33",2010,18.9
"SI",2010,18.3
"SI01",2010,21.6
"SI02",2010,14.7
"SK",2010,20.6
"SK01",2010,13.8
"SK02",2010,18.6
"SK03",2010,21.1
"SK04",2010,25.2
"TR",2010,65.7
"UK",2010,23.2
"AT",2011,19.2
"AT11",2011,NA
"AT12",2011,NA
"AT13",2011,NA
"AT21",2011,NA
"AT22",2011,NA
"AT31",2011,NA
"AT32",2011,NA
"AT33",2011,NA
"AT34",2011,NA
"BE",2011,21
"BG",2011,49.1
"BG3",2011,54.5
"BG31",2011,53.9
"BG32",2011,59.5
"BG33",2011,52.1
"BG34",2011,53.2
"BG4",2011,43.3
"BG41",2011,37.4
"BG42",2011,51.6
"CH",2011,17.2
"CH01",2011,21.5
"CH02",2011,20.3
"CH03",2011,14.4
"CH04",2011,13
"CH05",2011,15.9
"CH06",2011,12.3
"CH07",2011,22.7
"CY",2011,24.6
"CZ",2011,15.3
"CZ01",2011,9.1
"CZ02",2011,9.6
"CZ03",2011,14.6
"CZ04",2011,24.6
"CZ05",2011,13.8
"CZ06",2011,14.2
"CZ07",2011,16.4
"CZ08",2011,22
"DE",2011,19.9
"DE11",2011,NA
"DE12",2011,NA
"DE13",2011,NA
"DE14",2011,NA
"DE21",2011,NA
"DE22",2011,NA
"DE23",2011,NA
"DE24",2011,NA
"DE25",2011,NA
"DE26",2011,NA
"DE27",2011,NA
"DE30",2011,NA
"DE40",2011,NA
"DE50",2011,NA
"DE60",2011,NA
"DE71",2011,NA
"DE72",2011,NA
"DE73",2011,NA
"DE80",2011,NA
"DE91",2011,NA
"DE92",2011,NA
"DE93",2011,NA
"DE94",2011,NA
"DEA1",2011,NA
"DEA2",2011,NA
"DEA3",2011,NA
"DEA4",2011,NA
"DEA5",2011,NA
"DEB1",2011,NA
"DEB2",2011,NA
"DEB3",2011,NA
"DEC0",2011,NA
"DED2",2011,NA
"DED4",2011,NA
"DED5",2011,NA
"DEE0",2011,NA
"DEF0",2011,NA
"DEG0",2011,NA
"DK",2011,17.6
"DK01",2011,17.7
"DK02",2011,15.8
"DK03",2011,19.6
"DK04",2011,18.1
"DK05",2011,13.9
"EE",2011,23.1
"EL",2011,31
"EL3",2011,29.1
"EL4",2011,21.3
"EL5",2011,34.2
"EL6",2011,34.2
"ES",2011,26.7
"ES1",2011,21.1
"ES11",2011,21
"ES12",2011,20.4
"ES13",2011,23
"ES2",2011,18.5
"ES21",2011,18.9
"ES22",2011,13.1
"ES23",2011,26.1
"ES24",2011,18.6
"ES3",2011,18.6
"ES30",2011,18.6
"ES4",2011,29.7
"ES41",2011,22.3
"ES42",2011,35.3
"ES43",2011,36
"ES5",2011,24.3
"ES51",2011,21.6
"ES52",2011,27.9
"ES53",2011,26.7
"ES6",2011,37.4
"ES61",2011,38.4
"ES62",2011,31.9
"ES63",2011,33.6
"ES64",2011,34.7
"ES7",2011,37.8
"ES70",2011,37.8
"FI",2011,17.9
"FI1",2011,18
"FI13",2011,NA
"FI18",2011,NA
"FI19_20",2011,18.9
"FI1A",2011,NA
"FI1B",2011,13.8
"FI1C",2011,19.2
"FI1D",2011,20.6
