PLANNAME,EW2016,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Kietzer Feld/Nachtheide,14437,5.24,1.81,6.83,17.57,-1.65,-0.84,0.01,-1.33
Wendenschloß,1812,2.85,0.74,2.1,5.53,0.69,0.29,1.26,5.53
Allende I,4962,4.83,1.56,6.49,19.19,-0.88,-0.34,-0.28,1.26
Allende II,1485,3.51,1.43,4.98,8.78,-0.39,0.02,-0.96,-5.12
Altstadt Kietz,7382,7.54,2.85,14.43,30.18,-0.99,-0.52,0.12,-2.59
Müggelheim,6582,2.25,0.57,2.11,2.98,-0.84,-0.5,-0.05,-0.75
Hirschgarten,3583,5.68,1.69,6.25,13.46,1.72,0.82,2.13,5.45
Bölschestraße,14685,3.67,1.2,3.84,7.01,-0.72,-0.4,-0.23,-0.43
Rahnsdorf/Hessenwinkel,9393,3.45,0.93,2.76,4.81,-0.34,-0.22,0.34,0.9
Dammvorstadt,10747,5.36,1.89,6.93,14.13,-1.14,-0.39,-0.82,-3.17
Köpenick Nord,12775,4.25,1.6,5.07,10.96,-1.44,-0.52,0.26,-1.22
Marzahn West,5671,8.45,2.59,24.67,49.47,-2.13,-1.3,-1.59,-5.65
Havemannstraße,17831,10.16,3.06,25.56,54.13,-2.16,-1.21,-3.52,-8.09
Gewerbegebiet Bitterfelder Straße,1379,,,,,,,,
Wuhletalstraße,10479,8.84,2.3,22.42,46.42,-2.12,-1.89,-1.15,-7.51
Marzahn Ost,8319,8.97,2.47,20.03,46.41,-2.87,-2,-2.23,-5.56
Ringkolonnaden,17015,7.94,2.02,16.9,43.98,-1.54,-1.29,-1.48,-6.25
Marzahner Promenade,10762,8.1,2.29,18.26,46.05,-1.98,-1.02,-2.13,-8.17
Marzahner Chaussee,2329,5.4,1.32,6.96,14.48,-0.39,-0.54,0.95,3.92
Springpfuhl,14378,6.92,1.91,14.33,38.06,-1.9,-1.39,-1.17,-5.68
Alt-Marzahn,17818,6.92,1.97,13.26,36.11,-1.44,-0.8,-1.29,-4.94
Landsberger Tor,2932,3.96,0.98,7.16,16.09,0.27,0.01,0.47,2.37
Alte Hellersdorfer Straße,6736,11.79,3.54,33.82,60.41,-3.72,-1.69,-1.11,-2.35
Gut Hellersdorf,15530,9.06,2.47,20.66,47.84,-1.77,-0.9,-1.76,-7.35
Helle Mitte,1660,7.35,2.33,22.05,46.09,-1.02,-0.23,-1.59,-5.87
Hellersdorfer Promenade,5550,12.79,3.56,33.37,69.96,-2.18,-1.69,0.62,-1.15
Böhlener Straße,5547,11.08,2.78,27.06,55.27,-2.95,-1.31,-0.69,-1.15
Adele-Sandrock-Straße,8861,4.9,1.61,10.81,29.01,-1.68,-0.62,-0.59,-2.66
Schleipfuhl,5167,8.48,2.29,19.53,40.75,-1.46,-0.81,-0.81,-7.21
Boulevard Kastanienallee,6051,12.35,3.46,29.88,57.37,-2.58,-1.8,-2.83,-4.33
Kaulsdorf Nord II,3299,7.01,1.96,16.16,43.72,-1.38,-1.15,-1.57,-3.23
Gelbes Viertel,6071,8.53,2.48,23.8,46.05,-2,-0.88,-1.42,-7.32
Kaulsdorf Nord I,8631,6.03,1.53,11.55,31.51,-2.05,-1.02,-2.88,-11.86
Rotes Viertel,6527,6.48,2.33,10.77,25.57,-1.48,-0.41,-1.31,-7.14
Oberfeldstraße,7799,1.83,0.39,1.44,2.04,-0.49,-0.3,-0.13,-2.09
Buckower Ring,6297,6.88,1.89,10.72,15.8,-0.74,-0.91,-1.5,-7.17
Alt-Biesdorf,3009,2.75,0.76,2.86,5.84,-0.64,-0.09,1.31,3
Biesdorf Süd,9315,2.06,0.56,1.2,3.45,-0.09,0.04,0.15,1.6
Kaulsdorf Nord,7719,3.71,0.96,5.22,12.98,-0.43,-0.51,-0.89,-2.97
Alt-Kaulsdorf,3762,2.42,0.64,3.88,4.71,-0.91,-0.34,0.67,1.05
Kaulsdorf Süd,7545,2.09,0.6,1.8,3.43,-0.36,-0.09,-0.78,-2.26
Mahlsdorf Nord,9323,2.04,0.48,1.81,2.11,-0.66,-0.37,-0.19,-1.03
Alt-Mahlsdorf,3956,2.78,0.53,2.12,2.84,-0.5,-0.41,-0.8,-2.45
Mahlsdorf Süd,14747,2.3,0.69,1.98,3.86,-0.49,-0.23,-0.13,-0.28
Dorf Malchow,592,3.47,1.85,9.29,12.5,-7.21,-0.33,-3.39,4.03
Dorf Wartenberg,2557,1.88,0.72,2.07,3.88,-1.19,-0.36,-0.27,-2.31
Dorf Falkenberg,1604,4.14,0.58,4.55,8.37,1.17,-0.61,1.91,2
Falkenberg Ost,8907,9.63,3.65,24.77,51.33,-2.52,-1.42,-0.2,-5.55
Falkenberg West,6713,7.35,2.61,20.93,47.95,-2.89,-1.32,-1.63,-3.82
Wartenberg Süd,5997,7.21,3.06,17.89,45.31,-1.56,-0.45,-0.59,-5.31
Wartenberg Nord,7113,7.91,2.91,18.21,39.14,-1.68,-0.49,-0.04,-3.95
