"SCHLUESSEL","PLANNAME","EW2016","STATUS1","STATUS2","STATUS3","STATUS4","DYNAMO1","DYNAMO2","DYNAMO3","DYNAMO4"
"01044102","Schillerpark","16238",8.06,2.41,18.99,51.49,-1.52,-0.72,0.09,-0.97
"01044103","Westliche Müllerstraße","8589",8.85,2.76,20.51,51.43,-1.05,-0.4,1.16,-1.74
"01044201","Reinickendorfer Straße","23424",10.8,3.11,32.44,70.31,-1.99,-0.83,-0.6,-2.29
"01044202","Sparrplatz","16703",8.79,3.02,21.34,56.02,-1.06,-0.35,0.36,-2.48
"01044203","Leopoldplatz","16462",10.28,3.03,28.85,64.73,-1.41,-0.56,0.43,-1.89
"02010101","Askanischer Platz","6481",9.27,2.81,24.76,44.43,-2.22,-1.24,-2.27,-14.45
"02010102","Mehringplatz","13278",11.78,3.99,32.47,61.58,-1.74,-1.33,-1.16,-2.55
"02010103","Moritzplatz","15593",13.04,4.69,35.03,66.17,-2.64,-1.44,-2.12,-5.99
"02010104","Wassertorplatz","5044",11.77,3.93,34.75,67.48,-1.44,-0.79,-0.74,-3.04
"02020201","Gleisdreieck/Entwicklungsgebiet","911",2.81,0.56,3.62,7.28,-4.49,-2.18,-4.12,-3.58
"02020202","Rathaus Yorckstraße","5990",6.44,1.7,13.49,24.5,-0.72,-0.93,-0.27,0.35
"02020203","Viktoriapark","10886",5.42,1.63,10.96,20.84,-1.18,-0.22,-0.74,-3.25
"02020204","Urbanstraße","12326",5.61,1.51,12.32,21.72,-0.99,-0.58,-0.47,-3.97
"02020205","Chamissokiez","14892",5.63,1.53,11.52,20.89,-1.3,-0.53,-0.85,-3.05
"02020206","Graefekiez","19052",7.16,2.27,16.64,30.37,-0.86,-0.35,-0.71,-6.04
"02030301","Oranienplatz","9092",10.57,3.49,27.87,53.69,-1.25,-0.68,-1.24,-4.25
"02030302","Lausitzer Platz","13166",8.93,2.78,21.87,40.74,-1.58,-0.75,-1.71,-5.57
