unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,DEE0	18.0 	16.1 	15.5 	13.4 	10.8 b	10.1 b	9.7 	9.2 	8.4 	7.6 	7.2 	6.2 
PC,Y_GE15,F,DEF0	8.9 	8.5 	6.8 	7.0 	5.7 b	5.0 b	4.4 	4.4 	4.2 	3.4 	3.5 	2.8 
PC,Y_GE15,F,DEG0	16.4 	15.0 	12.0 	10.6 	8.9 b	7.4 b	7.7 	6.3 	6.0 	5.8 	5.0 	4.2 
PC,Y_GE15,F,DK01	: 	4.2 	3.5 	5.6 	7.3 	8.3 	8.4 	7.9 	7.4 	6.9 	7.1 b	6.4 b
PC,Y_GE15,F,DK02	: 	3.9 	3.8 	4.5 	5.6 	6.9 	5.9 	6.8 	6.3 	6.2 	6.7 b	5.4 b
PC,Y_GE15,F,DK03	: 	3.9 	3.5 	5.3 	6.3 	7.5 	8.0 	7.7 	6.8 	6.3 	6.7 b	5.9 b
PC,Y_GE15,F,DK04	: 	4.0 	3.8 	5.1 	6.2 	6.6 	6.7 	6.6 	6.7 	6.0 	5.5 b	5.8 b
PC,Y_GE15,F,DK05	: 	5.5 	4.8 	6.3 	6.2 	7.3 	7.9 	6.6 	6.1 	6.5 	7.5 b	5.4 b
PC,Y_GE15,F,EE00	5.6 	3.8 	5.1 	10.3 	14.1 	11.6 	9.1 	8.2 	6.8 	6.1 	6.1 	5.3 
PC,Y_GE15,F,EL30	11.8 	11.2 	8.8 	11.3 b	14.6 	19.9 	27.4 	30.7 	29.5 	27.4 	26.2 	24.8 
PC,Y_GE15,F,EL41	16.6 	14.0 	9.7 u	12.4 bu	14.4 	17.8 	28.5 	27.3 	28.1 	25.1 	26.1 	28.2 
PC,Y_GE15,F,EL42	15.4 	17.9 	12.9 	17.6 b	21.9 	18.7 	20.6 	26.3 	21.2 	16.3 	21.7 	19.2 
PC,Y_GE15,F,EL43	11.4 	8.7 	10.2 	12.4 b	15.2 	19.3 	27.1 	29.7 	27.9 	28.9 	27.6 	21.4 
PC,Y_GE15,F,EL51	16.3 	15.0 	14.5 	15.8 b	18.2 	23.4 	25.1 	28.5 	27.7 	27.7 	27.6 	24.9 
PC,Y_GE15,F,EL52	14.8 	14.2 	13.0 	14.3 b	18.4 	24.8 	30.3 	35.1 	33.2 	30.1 	28.4 	28.2 
PC,Y_GE15,F,EL53	20.3 	18.3 	19.1 	16.8 b	19.6 	28.8 	36.4 	37.8 	34.6 	39.6 	40.4 	37.2 
PC,Y_GE15,F,EL54	15.9 	15.8 	16.4 	16.3 b	17.6 	20.9 	26.8 	31.5 	30.1 	28.9 	29.1 	29.4 
PC,Y_GE15,F,EL61	14.0 	11.6 	12.2 	13.0 b	16.9 	23.0 	30.5 	31.8 	31.9 	32.9 	30.4 	26.0 
