"sex","nuts","year","unempl_pct"
"T","PL51",2006,17.3
"T","PL52",2006,13.5
"T","PL61",2006,16.2
"T","PL62",2006,16
"T","PL63",2006,13.8
"T","PL71",2006,13.4
"T","PL72",2006,15.5
"T","PL81",2006,12.8
"T","PL82",2006,13.7
"T","PL84",2006,11.3
"T","PL91",2006,NA
"T","PL92",2006,NA
"T","PT11",2006,8.8
"T","PT15",2006,5.5
"T","PT16",2006,5.4
"T","PT17",2006,8.5
"T","PT18",2006,9.1
"T","PT20",2006,NA
"T","PT30",2006,5.3
"T","RO11",2006,5.9
"T","RO12",2006,9
"T","RO21",2006,5.9
"T","RO22",2006,9
"T","RO31",2006,9.4
"T","RO32",2006,4.8
"T","RO41",2006,7.1
"T","RO42",2006,6.4
"T","RS11",2006,NA
"T","RS12",2006,NA
"T","RS21",2006,NA
"T","RS22",2006,NA
"T","SE11",2006,6.1
"T","SE12",2006,7.3
"T","SE21",2006,5.9
"T","SE22",2006,8.2
"T","SE23",2006,6.8
"T","SE31",2006,7.9
"T","SE32",2006,7.3
"T","SE33",2006,8.5
"T","SI01",2006,7.1
"T","SI02",2006,4.6
"T","SI03",2006,NA
"T","SI04",2006,NA
"T","SK01",2006,4.6
"T","SK02",2006,9.8
"T","SK03",2006,16.4
"T","SK04",2006,19.1
"T","TR10",2006,10.5
"T","TR21",2006,6.8
"T","TR22",2006,4.9
"T","TR31",2006,10.3
"T","TR32",2006,5.3
"T","TR33",2006,6.2
"T","TR41",2006,7.3
"T","TR42",2006,10.3
"T","TR51",2006,11.4
"T","TR52",2006,9.2
"T","TR61",2006,6.4
"T","TR62",2006,14.3
"T","TR63",2006,9.5
"T","TR71",2006,9.2
"T","TR72",2006,9.5
"T","TR81",2006,4.8
"T","TR82",2006,3.9
"T","TR83",2006,5.7
"T","TR90",2006,4.3
"T","TRA1",2006,3.9
"T","TRA2",2006,3.3
"T","TRB1",2006,10.5
"T","TRB2",2006,6.9
"T","TRC1",2006,12.6
"T","TRC2",2006,10.8
"T","TRC3",2006,13.5
"T","UKC1",2006,5.8
"T","UKC2",2006,6.9
"T","UKD1",2006,4.3
"T","UKD3",2006,5.4
"T","UKD4",2006,4.9
"T","UKD6",2006,3.3
"T","UKD7",2006,6.4
"T","UKE1",2006,6
"T","UKE2",2006,4
"T","UKE3",2006,7
"T","UKE4",2006,5.5
"T","UKF1",2006,5.5
"T","UKF2",2006,5.1
"T","UKF3",2006,4.7
"T","UKG1",2006,3.8
"T","UKG2",2006,4.2
"T","UKG3",2006,7.9
"T","UKH1",2006,4.7
"T","UKH2",2006,4.8
